CITATION,EPSILON_HF,EPSILON_ND,HF176_HF177,LAND/SEA (SAMPLING),LATITUDE (MAX.),LATITUDE (MIN.),LOCATION,LOCATION COMMENT,LONGITUDE (MAX.),LONGITUDE (MIN.),ND143_ND144,PB206_PB204,PB207_PB204,PB208_PB204,ROCK NAME,ROCK TYPE,SAMPLE NAME,SAMPLING TECHNIQUE,SR87_SR86,TECTONIC SETTING,TYPE OF MATERIAL,UNIQUE_ID,Year
 [345] STILLE P. (1983),18.88360415156317,8.231929743796469,0.283319,SUBAERIAL,21.34,21.34,HAWAIIAN ISLANDS ,CASTLE VENT,-157.85,-157.85,0.5130600000000001,18.202,15.451,37.815,NEPHELINITE,VOLCANIC ROCK,samp. OA-4,OUTCROP,0.70325,OCEAN ISLAND,WHOLE ROCK,843-OA-4,1983
 [345] STILLE P. (1983),17.469101967925965,8.03686031858676,0.283279,SUBAERIAL,21.34,21.34,HAWAIIAN ISLANDS ,"TRAINING SCHOOL VENT, ORCHARD E OF KAMEHAMEHA HIGHWAY, 0.3 MILE SW OF KAILUA JUNCTION",-157.85,-157.85,0.51305,18.154,15.461,37.773,NEPHELINITE,VOLCANIC ROCK,samp. OA-5,OUTCROP,0.70317,OCEAN ISLAND,WHOLE ROCK,844-OA-5,1983
 [345] STILLE P. (1983),16.26677511183268,7.841790893377049,0.283245,SUBAERIAL,21.34,21.34,HAWAIIAN ISLANDS ,KAUPO VENT,-157.85,-157.85,0.5130399999999999,18.099,15.463,37.754,"BASALT, ALKALINE, OLIVINE",VOLCANIC ROCK,samp. OA-6,OUTCROP,0.70328,OCEAN ISLAND,WHOLE ROCK,845-OA-6,1983
 [345] STILLE P. (1983),15.170535919513311,8.017353376065355,0.283214,SUBAERIAL,21.34,21.2936,HAWAIIAN ISLANDS ,"KALAMA VENT, KALOKO, KOKO RIFT",-157.85,-157.6669,0.513049,18.103,15.438,37.686,"BASALT, ALKALINE, OLIVINE",VOLCANIC ROCK,samp. OA-10,OUTCROP,0.70325,OCEAN ISLAND,WHOLE ROCK,33610-OA-10,1983
 [345] STILLE P. (1983),10.644128931873887,1.7946387119172005,0.283086,SUBAERIAL,21.34,21.34,HAWAIIAN ISLANDS ,KOOLAU RANGE,-157.85,-157.85,0.51273,17.826,15.44,37.76300000000001,THOLEIITE,VOLCANIC ROCK,samp. OA-2,OUTCROP,0.7040000000000001,OCEAN ISLAND,WHOLE ROCK,847-OA-2,1983
 [345] STILLE P. (1983),10.50267871350997,1.2484443213330454,0.283082,SUBAERIAL,21.34,21.34,HAWAIIAN ISLANDS ,NEAR MAKAPUU POINT,-157.85,-157.85,0.512702,17.898,15.448,37.779,THOLEIITE,VOLCANIC ROCK,samp. OA-7,OUTCROP,0.70403,OCEAN ISLAND,WHOLE ROCK,848-OA-7,1983
 [345] STILLE P. (1983),8.027299892143402,1.209430436292403,0.283012,SUBAERIAL,21.34,21.34,HAWAIIAN ISLANDS ,NEAR MAKAPUU POINT,-157.85,-157.85,0.5127,17.994,15.456,37.828,THOLEIITE,VOLCANIC ROCK,samp. OA-8,OUTCROP,0.70411,OCEAN ISLAND,WHOLE ROCK,848-OA-8,1983
 [345] STILLE P. (1983),8.805276093144943,1.2289373788138072,0.283034,SUBAERIAL,21.34,21.34,HAWAIIAN ISLANDS ,NEAR MAKAPUU POINT,-157.85,-157.85,0.5127010000000001,17.929000000000006,15.484000000000002,37.803,THOLEIITE,VOLCANIC ROCK,samp. OA-9,OUTCROP,0.70412,OCEAN ISLAND,WHOLE ROCK,848-OA-9,1983
 [345] STILLE P. (1983),9.052813975280813,1.1704165512495948,0.283041,SUBAERIAL,21.34,21.34,HAWAIIAN ISLANDS ,HAWAII KAI DRIVE,-157.85,-157.85,0.512698,17.912,15.445,37.749,THOLEIITE,VOLCANIC ROCK,samp. OA-11,OUTCROP,0.70403,OCEAN ISLAND,WHOLE ROCK,850-OA-11,1983
 [345] STILLE P. (1983),11.846455787965207,7.159047905149563,0.28312,SUBAERIAL,21.43,21.43,HAWAIIAN ISLANDS ,"LOWER (PRECALDERA) MEMBER, ABOVE GULLY AT BASE OF RIDGE 1.2 KM EAST OF PUU HELEAKALA, ON NORTH SIDE OF NANAKULI VALLEY",-158.18,-158.18,0.513005,18.158,15.449000000000002,37.762,THOLEIITE,VOLCANIC ROCK,samp. C-46,OUTCROP,0.7035100000000001,OCEAN ISLAND,WHOLE ROCK,3864-C-46,1983
 [345] STILLE P. (1983),12.058631115513046,6.554332687001196,0.28312600000000004,SUBAERIAL,21.43,21.43,HAWAIIAN ISLANDS ,"MIDDLE (CALDERA-FILLING) MEMBER, ABOVE CALDERA-BORDER BRECCIA, AT BASE OF RIDGE 1.2 KM EAST OF PUU HELEAKALA, ON NORTH SIDE OF NANAKULI VALLEY",-158.18,-158.18,0.5129739999999999,18.114,15.454,37.735,THOLEIITE,VOLCANIC ROCK,samp. C-48,OUTCROP,0.70357,OCEAN ISLAND,WHOLE ROCK,3866-C-48,1983
 [345] STILLE P. (1983),12.341531552238918,6.261728549190963,0.283134,SUBAERIAL,21.43,21.43,HAWAIIAN ISLANDS ,WEST OF PUU KAPOLEI,-158.18,-158.18,0.512959,18.143,15.457,37.754,"BASALT, ALKALINE",VOLCANIC ROCK,samp. C-30,OUTCROP,0.7036600000000001,OCEAN ISLAND,WHOLE ROCK,727-C-30,1983
 [345] STILLE P. (1983),13.331683080784366,6.49581185943915,0.283162,SUBAERIAL,21.43,21.43,HAWAIIAN ISLANDS ,"MIDDLE (CALDERA-FILLING) MEMBER, ABOVE CALDERA-BORDER BRECCIA, AT BASE OF RIDGE 1.2 KM EAST OF PUU HELEAKALA, ON NORTH SIDE OF NANAKULI VALLEY",-158.18,-158.18,0.512971,18.082,15.439,37.692,HAWAIITE,VOLCANIC ROCK,samp. C-52,OUTCROP,0.70357,OCEAN ISLAND,WHOLE ROCK,3870-C-52,1983
 [1102] GERASIMOVSKY V. I. (1975),9.371076966600604,5.949617468857159,0.28305,SUBAERIAL,64.8,64.8,ICELAND ,SNAEFELLSNES PENINSULA,-23.5,-23.5,0.512943,18.94,15.5612,38.4452,ANDESITE,VOLCANIC ROCK,samp. 3,OUTCROP,0.704029,OCEAN ISLAND,WHOLE ROCK,,1975
 [1102] GERASIMOVSKY V. I. (1975),11.669643015011296,5.930110526335755,0.283115,SUBAERIAL,64.8,64.8,ICELAND ,EASTERN ICELAND,-23.5,-23.5,0.512942,18.9677,15.5536,38.4301,NOT GIVEN,VOLCANIC ROCK,samp. 5,OUTCROP,0.704074,OCEAN ISLAND,WHOLE ROCK,,1975
 [1102] GERASIMOVSKY V. I. (1975),13.756033735876114,6.300742434231606,0.283174,SUBAERIAL,65.0,65.0,ICELAND ,NORTHWEST ICELAND,-21.0,-21.0,0.512961,19.0648,15.5649,38.4711,NOT GIVEN,VOLCANIC ROCK,samp. 2,OUTCROP,0.7042189999999999,OCEAN ISLAND,WHOLE ROCK,,1975
 [1102] GERASIMOVSKY V. I. (1975),11.351380023691506,6.320249376753009,0.283106,SUBAERIAL,64.8,64.8,ICELAND ,"WESTERN ICELAND, SKARDHSHEIDHI",-23.5,-23.5,0.512962,19.0111,15.5596,38.4335,NOT GIVEN,VOLCANIC ROCK,samp. 2,OUTCROP,0.70389,OCEAN ISLAND,WHOLE ROCK,,1975
 [1102] GERASIMOVSKY V. I. (1975),11.952543451739128,6.027645238940611,0.283123,SUBAERIAL,64.4,64.4,ICELAND ,"SOUTHWESTERN PART OF RIFT, HEINGILD",-20.7,-20.7,0.512947,18.9928,15.5559,38.4134,RHYODACITE,VOLCANIC ROCK,samp. 2,OUTCROP,0.704253,OCEAN ISLAND,WHOLE ROCK,,1975
 [1102] GERASIMOVSKY V. I. (1975),11.49283024205542,6.222714664148156,0.28311,SUBAERIAL,64.8,64.8,ICELAND ,EASTERN ICELAND,-23.5,-23.5,0.512957,18.9594,15.5493,38.3911,RHYOLITE,VOLCANIC ROCK,samp. 9,OUTCROP,0.703903,OCEAN ISLAND,WHOLE ROCK,,1975
 [1176] CHAUVEL C. (1992),5.092207861095089,4.798707860126804,0.282929,SUBAERIAL,-23.39,-23.39,AUSTRAL-COOK ISLANDS ,,-149.47,-149.47,0.512884,21.06,15.776,40.3,"BASALT, ALKALINE",VOLCANIC ROCK,samp. 5436,OUTCROP,0.702793,OCEAN ISLAND,WHOLE ROCK,2788-5436,1992
 [1176] CHAUVEL C. (1992),5.304383188640963,5.013284227855752,0.282935,SUBAERIAL,-23.38,-23.38,AUSTRAL-COOK ISLANDS ,,-149.51,-149.51,0.512895,21.107,15.77,40.41,"BASALT, ALKALINE",VOLCANIC ROCK,samp. 5437_UNLEACHED,OUTCROP,0.702788,OCEAN ISLAND,WHOLE ROCK,,1992
 [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ],12.200081333875,7.412638157919153,0.28313,SUBAERIAL,64.2,64.2,ICELAND ,"TUNGNAARHRAUN, EASTERN RIFT ZONE",-19.5,-19.5,0.513018,19.128,15.515,38.709,BASALT,VOLCANIC ROCK,samp. IC-32,OUTCROP,0.703272,OCEAN ISLAND,WHOLE ROCK,,2000
 [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ],11.49283024205542,6.5933465720440045,0.28311,SUBAERIAL,63.9,63.9,ICELAND ,"ELDGJA, SOUTHERN PART OF EASTERN RIFT",-17.8,-17.8,0.512976,19.221,15.535,38.879,BASALT,VOLCANIC ROCK,samp. IC-210,OUTCROP,0.703313,OCEAN ISLAND,WHOLE ROCK,,2000
 [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ],15.94851212051485,8.48551999656606,0.283236,SUBAERIAL,65.55,65.55,ICELAND ,,-16.78,-16.78,0.513073,18.239,15.444,37.92,BASALT,VOLCANIC ROCK,samp. IC-43B,OUTCROP,0.7030930000000001,OCEAN ISLAND,WHOLE ROCK,,2000
 [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ],14.180384390967864,8.056367261108162,0.283186,SUBAERIAL,64.1,64.1,ICELAND ,REYKJANES PENINSULA,-20.93,-20.93,0.513051,18.425,15.467,38.12300000000001,BASALT,VOLCANIC ROCK,samp. IC-45,OUTCROP,0.7031810000000001,OCEAN ISLAND,WHOLE ROCK,1498-IC-45,2000
 [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ],15.63024912919702,8.89516578950255,0.283227,SUBAERIAL,65.55,65.55,ICELAND ,BONDHOLSHRAUN,-16.78,-16.78,0.5130939999999999,18.048,15.411,37.69300000000001,BASALT,VOLCANIC ROCK,samp. 58,OUTCROP,0.7030649999999999,OCEAN ISLAND,WHOLE ROCK,,2000
 [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ],14.534009936877652,8.973193559586,0.283196,SUBAERIAL,65.07,65.07,ICELAND ,,-16.83,-16.83,0.5130979999999999,18.432,15.455,38.105,BASALT,VOLCANIC ROCK,samp. IC-186,OUTCROP,0.7031890000000001,OCEAN ISLAND,WHOLE ROCK,,2000
 [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ],14.357197163921775,7.763763123293599,0.283191,SUBAERIAL,65.0,64.5,ICELAND ,,-18.0,-17.0,0.5130359999999999,18.494,15.472,38.113,BASALT,VOLCANIC ROCK,samp. IC-122,OUTCROP,0.703054,OCEAN ISLAND,WHOLE ROCK,,2000
 [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ],14.56937249146765,7.861297835898452,0.283197,SUBAERIAL,65.0,64.5,ICELAND ,,-18.0,-17.0,0.513041,18.626,15.502,38.28,BASALT,VOLCANIC ROCK,samp. IC-124,OUTCROP,0.703073,OCEAN ISLAND,WHOLE ROCK,,2000
 [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ],15.382711247059186,8.48551999656606,0.28322,SUBAERIAL,65.0,64.5,ICELAND ,SOLKATLA,-18.0,-17.0,0.513073,18.585,15.467,38.171,BASALT,VOLCANIC ROCK,samp. IC-130B,OUTCROP,0.703066,OCEAN ISLAND,WHOLE ROCK,,2000
 [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ],16.160687448060724,9.733964317899103,0.283242,SUBAERIAL,64.745,64.745,ICELAND ,DVERGAR,-17.634,-17.634,0.513137,18.071,15.409,37.772,BASALT,VOLCANIC ROCK,samp. IC-152,OUTCROP,0.70305,OCEAN ISLAND,WHOLE ROCK,6019-IC-152,2000
 [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ],16.9033010944703,9.655936547815656,0.283263,SUBAERIAL,64.5,64.0,ICELAND ,THRENGSLI,-22.0,-20.0,0.513133,18.428,15.48,38.112,BASALT,VOLCANIC ROCK,samp. IC-216,OUTCROP,0.702922,OCEAN ISLAND,WHOLE ROCK,11476-IC-216,2000
 [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ],12.235443888466964,8.329464456399156,0.283131,SUBAERIAL,64.04,64.04,ICELAND ,SEYDISHOLAR,-20.911,-20.911,0.513065,18.799,15.488,38.292,BASALT,VOLCANIC ROCK,samp. IC-224,OUTCROP,0.7030270000000001,OCEAN ISLAND,WHOLE ROCK,,2000
 [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ],18.105627950561626,9.577908777732203,0.283297,SUBAERIAL,63.815,63.815,ICELAND ,REYKJANES PENINSULA,-22.67,-22.67,0.513129,18.138,15.44,37.825,BASALT,VOLCANIC ROCK,samp. RE291,OUTCROP,0.7030069999999999,OCEAN ISLAND,WHOLE ROCK,,2000
 [4937] EISELE J. (2002),-4.1727814417315985,-3.5502635387937582,0.282667,SUBAERIAL,-25.07,-25.07,PITCAIRN-GAMBIER CHAIN ,,-130.1,-130.1,0.512456,17.7346,15.4928,39.016,BASALT,VOLCANIC ROCK,samp. PIT89-1,OUTCROP,0.7048760000000001,OCEAN ISLAND,WHOLE ROCK,,2002
 [4937] EISELE J. (2002),-2.05102816627482,-2.184777562334454,0.282727,SUBAERIAL,-25.07,-25.07,PITCAIRN-GAMBIER CHAIN ,,-130.1,-130.1,0.512526,17.8072,15.4988,38.964,BASALT,VOLCANIC ROCK,samp. PIT89-2,OUTCROP,0.704498,OCEAN ISLAND,WHOLE ROCK,3906-PIT89-2,2002
 [4937] EISELE J. (2002),-2.72291670350244,-2.7699858379614173,0.282708,SUBAERIAL,-25.07,-25.07,PITCAIRN-GAMBIER CHAIN ,,-130.1,-130.1,0.512496,17.8024,15.4959,38.976,BASALT,VOLCANIC ROCK,samp. PIT89-4,OUTCROP,0.704689,OCEAN ISLAND,WHOLE ROCK,3906-PIT89-4,2002
 [4937] EISELE J. (2002),-2.5461039305485262,-2.63343724031592,0.282713,SUBAERIAL,-25.07,-25.07,PITCAIRN-GAMBIER CHAIN ,,-130.1,-130.1,0.5125029999999999,17.8204,15.4985,38.992,BASALT,VOLCANIC ROCK,samp. PIT89-5,OUTCROP,0.704691,OCEAN ISLAND,WHOLE ROCK,,2002
 [4937] EISELE J. (2002),-2.5107413759585286,-2.7504788954400134,0.282714,SUBAERIAL,-25.07,-25.07,PITCAIRN-GAMBIER CHAIN ,,-130.1,-130.1,0.512497,17.820999999999994,15.4983,38.997,BASALT,VOLCANIC ROCK,samp. PIT89-6,OUTCROP,0.704702,OCEAN ISLAND,WHOLE ROCK,,2002
 [4937] EISELE J. (2002),-5.764096398324673,-5.949617468857159,0.282622,SUBAERIAL,-25.07,-25.07,PITCAIRN-GAMBIER CHAIN ,,-130.1,-130.1,0.512333,17.6431,15.4861,39.018,BASALT,VOLCANIC ROCK,samp. PIT89-8,OUTCROP,0.705105,OCEAN ISLAND,WHOLE ROCK,,2002
 [4937] EISELE J. (2002),-3.2887175769581036,-3.920895446689608,0.282692,SUBAERIAL,-25.07,-25.07,PITCAIRN-GAMBIER CHAIN ,,-130.1,-130.1,0.512437,17.772000000000006,15.4934,39.002,BASALT,VOLCANIC ROCK,samp. PIT89-10,OUTCROP,0.704646,OCEAN ISLAND,WHOLE ROCK,3906-PIT89-10,2002
 [4937] EISELE J. (2002),-2.3692911575946125,-2.7894927804806557,0.282718,SUBAERIAL,-25.07,-25.07,PITCAIRN-GAMBIER CHAIN ,,-130.1,-130.1,0.512495,17.8147,15.4971,39.026,BASALT,VOLCANIC ROCK,samp. PIT89-19,OUTCROP,0.704677,OCEAN ISLAND,WHOLE ROCK,,2002
 [4937] EISELE J. (2002),0.8840638647734939,0.7022499307488905,0.28281,SUBAERIAL,-25.07,-25.07,PITCAIRN-GAMBIER CHAIN ,,-130.1,-130.1,0.512674,18.0199,15.493,39.034,BASALT,VOLCANIC ROCK,samp. PIT89-20,OUTCROP,0.703603,OCEAN ISLAND,WHOLE ROCK,5087-PIT89-20,2002
 [6174] STRACKE A.(2003)  [GeoReM [448] ],14.321834609331775,8.134395031191614,0.28319,SUBAERIAL,65.82,65.82,ICELAND ,,-16.9,-16.9,0.513055,18.184,15.4221,37.8391,PICRITE,VOLCANIC ROCK,samp. 9330,OUTCROP,0.703129,OCEAN ISLAND,WHOLE ROCK,12925-9330,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],15.983874675106811,8.778124134378459,0.283237,SUBAERIAL,65.82,65.82,ICELAND ,,-16.9,-16.9,0.513088,18.0667,15.4132,37.7032,"THOLEIITE, OLIVINE",VOLCANIC ROCK,samp. 9359,OUTCROP,0.7029890000000001,OCEAN ISLAND,WHOLE ROCK,12925-9359,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],16.302137666424642,8.48551999656606,0.283246,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.513073,18.0591,15.4081,37.6902,PICRITE,VOLCANIC ROCK,samp. 9333,OUTCROP,0.703062,OCEAN ISLAND,WHOLE ROCK,12929-9333,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],15.594886574607026,8.309957513879919,0.28322600000000003,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.5130640000000001,18.1102,15.4126,37.7606,PICRITE,VOLCANIC ROCK,samp. 9306,OUTCROP,0.703095,OCEAN ISLAND,WHOLE ROCK,12926-9306,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],15.877787011334856,9.12924909975507,0.28323400000000004,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.5131060000000001,18.0071,15.4028,37.6457,PICRITE,VOLCANIC ROCK,samp. 9309,OUTCROP,0.702996,OCEAN ISLAND,WHOLE ROCK,12926-9309,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],16.58503810315247,8.719603306816412,0.283254,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.513085,18.0183,15.3885,37.6285,PICRITE,VOLCANIC ROCK,samp. 9311,OUTCROP,0.7030109999999999,OCEAN ISLAND,WHOLE ROCK,12926-9311,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],16.3728627756066,8.914672732023957,0.283248,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.513095,18.0199,15.3946,37.6323,PICRITE,VOLCANIC ROCK,samp. 9313,OUTCROP,0.7030109999999999,OCEAN ISLAND,WHOLE ROCK,12926-9313,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],16.125324893468758,8.992700502107406,0.283241,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.513099,18.0109,15.3943,37.6282,PICRITE,VOLCANIC ROCK,samp. 9354,OUTCROP,0.70301,OCEAN ISLAND,WHOLE ROCK,12927-9354,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],15.913149565924853,8.89516578950255,0.283235,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.5130939999999999,17.9862,15.3948,37.6131,PICRITE,VOLCANIC ROCK,samp. 9356,OUTCROP,0.70299,OCEAN ISLAND,WHOLE ROCK,12927-9356,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],16.761850876108348,9.12924909975507,0.28325900000000004,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.5131060000000001,18.0043,15.3933,37.5952,PICRITE,VOLCANIC ROCK,samp. 9372,OUTCROP,0.702967,OCEAN ISLAND,WHOLE ROCK,12930-9372,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],16.620400657744433,8.89516578950255,0.28325500000000003,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.5130939999999999,18.0462,15.4022,37.6559,"THOLEIITE, OLIVINE",VOLCANIC ROCK,samp. 9378,OUTCROP,0.702959,OCEAN ISLAND,WHOLE ROCK,12931-9378,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],17.292289194970092,9.304811582441207,0.283274,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.513115,17.9956,15.3883,37.5721,PICRITE,VOLCANIC ROCK,samp. 9370,OUTCROP,0.702929,OCEAN ISLAND,WHOLE ROCK,12931-9370,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],15.983874675106811,8.758617191857054,0.283237,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.513087,18.0761,15.4092,37.6991,PICRITE,VOLCANIC ROCK,samp. 9376,OUTCROP,0.7030569999999999,OCEAN ISLAND,WHOLE ROCK,12931-9376,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],15.877787011334856,8.466013054044655,0.28323400000000004,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.513072,18.0747,15.4136,37.7193,"THOLEIITE, OLIVINE",VOLCANIC ROCK,samp. 9383,OUTCROP,0.7030270000000001,OCEAN ISLAND,WHOLE ROCK,12928-9383,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],15.524161465423102,8.719603306816412,0.283224,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.513085,18.0762,15.4183,37.7296,PICRITE,VOLCANIC ROCK,samp. 94116,OUTCROP,0.703074,OCEAN ISLAND,WHOLE ROCK,12928-94116,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],17.752002404653798,9.851005973025364,0.283287,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.513143,17.9108,15.3664,37.459,PICRITE,VOLCANIC ROCK,samp. 9381,OUTCROP,0.7028949999999999,OCEAN ISLAND,WHOLE ROCK,12930-9381,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],17.539827077107926,9.655936547815656,0.283281,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.513133,17.904,15.3716,37.4677,PICRITE,VOLCANIC ROCK,samp. 9390,OUTCROP,0.702875,OCEAN ISLAND,WHOLE ROCK,12930-9390,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],14.038934172603946,7.9003117209412625,0.283182,SUBAERIAL,65.92,65.92,ICELAND ,,-17.07,-17.07,0.513043,18.3346,15.4438,38.0124,"THOLEIITE, OLIVINE",VOLCANIC ROCK,samp. 9322,OUTCROP,0.7032010000000001,OCEAN ISLAND,WHOLE ROCK,26223-9322,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],13.614583517512198,7.5491867555646515,0.28317,SUBAERIAL,65.92,65.92,ICELAND ,,-17.07,-17.07,0.513025,18.374,15.4422,38.0324,"THOLEIITE, OLIVINE",VOLCANIC ROCK,samp. 9323,OUTCROP,0.7032149999999999,OCEAN ISLAND,WHOLE ROCK,26223-9323,2003
 [6174] STRACKE A.(2003)  [GeoReM [448] ],15.241261028695268,7.861297835898452,0.283216,SUBAERIAL,65.8,65.8,ICELAND ,,-16.97,-16.97,0.513041,18.2789,15.4378,37.948,"THOLEIITE, OLIVINE",VOLCANIC ROCK,samp. 9366,OUTCROP,0.7031970000000001,OCEAN ISLAND,WHOLE ROCK,13382-9366,2003
